Email,Last Open Date,Revenue Generated ,,,,,,,,
paterson.sean@buytopiamail.com,7/31/2016,"$2,884.00",,,,,,,,
welch.trevor@buytopiamail.com,7/12/2016,$82.00,,,,,,,,
mackenzie.una@buytopiamail.com,8/2/2016,"$1,446.00",,,,,,,,
kelly.justin@buytopiamail.com,8/15/2016,$133.00,,,,,,,,
jones.jane@buytopiamail.com,7/23/2016,"$4,468.00",,,,,,,,
davies.joanne@buytopiamail.com,7/18/2016,"$4,253.00",,,,,,,,
tucker.joseph@buytopiamail.com,8/4/2016,"$3,695.00",,,,,,,,
vaughan.karen@buytopiamail.com,7/22/2016,"$4,037.00",,,,,,,,
johnston.john@buytopiamail.com,7/15/2016,"$3,399.00",,,,,,,,
hill.max@buytopiamail.com,7/11/2016,"$2,531.00",,,,,,,,
gray.abigail@buytopiamail.com,7/20/2016,"$3,259.00",,,,,,,,
clark.david@buytopiamail.com,7/27/2016,"$1,820.00",,,,,,,,
nolan.paul@buytopiamail.com,8/7/2016,"$2,879.00",,,,,,,,
hunter.amy@buytopiamail.com,8/15/2016,"$4,628.00",,,,,,,,
chapman.elizabeth@buytopiamail.com,7/5/2016,"$2,143.00",,,,,,,,
kelly.sophie@buytopiamail.com,7/22/2016,"$1,593.00",,,,,,,,
hodges.andrea@buytopiamail.com,7/22/2016,$146.00,,,,,,,,
mackay.julia@buytopiamail.com,7/6/2016,$740.00,,,,,,,,
langdon.jane@buytopiamail.com,7/31/2016,"$2,356.00",,,,,,,,
blake.caroline@buytopiamail.com,7/27/2016,"$1,524.00",,,,,,,,
mcgrath.chloe@buytopiamail.com,7/28/2016,"$1,619.00",,,,,,,,
rutherford.audrey@buytopiamail.com,8/4/2016,"$4,755.00",,,,,,,,
johnston.carl@buytopiamail.com,7/2/2016,$525.00,,,,,,,,
quinn.edward@buytopiamail.com,7/26/2016,"$2,954.00",,,,,,,,
newman.peter@buytopiamail.com,8/1/2016,"$2,111.00",,,,,,,,
burgess.sonia@buytopiamail.com,7/21/2016,"$4,295.00",,,,,,,,
